id,filename,genus,species
0,INHS_FISH_69099.jpg,Notropis,Rupestris
1,INHS_FISH_59079.jpg,Lepomis,Macrochirus
2,INHS_FISH_81541.jpg,Noturus,Exilis
3,INHS_FISH_78433.jpg,Noturus,Gyrinus
4,INHS_FISH_6772.jpg,Notropis,Stramineus
5,INHS_FISH_57413.jpg,Notropis,Stramineus
6,INHS_FISH_7686.jpg,Lepomis,Macrochirus
7,INHS_FISH_78934.jpg,Lepomis,Cyanellus
8,INHS_FISH_57705.jpg,Lepomis,Megalotis
9,INHS_FISH_25338.jpg,Notropis,Atherinoides
10,INHS_FISH_59307.jpg,Notropis,Hudsonius
11,INHS_FISH_80752.jpg,Notropis,Boops
12,INHS_FISH_007409.jpg,Cyprinus,Carpio
13,INHS_FISH_100200.jpg,Notropis,Stramineus
14,INHS_FISH_68410.jpg,Gambusia,Affinis
15,INHS_FISH_52051.jpg,Lepomis,Macrochirus
16,INHS_FISH_47335.jpg,Lepomis,Cyanellus
17,INHS_FISH_60589.jpg,Lepomis,Megalotis
18,INHS_FISH_50807.jpg,Cyprinus,Carpio
19,INHS_FISH_82274.jpg,Notropis,Hudsonius
20,INHS_FISH_79838.jpg,Lepomis,Cyanellus
21,INHS_FISH_026046.jpg,Cyprinus,Carpio
22,INHS_FISH_79664.jpg,Notropis,Hudsonius
23,INHS_FISH_46475.jpg,Lepomis,Macrochirus
24,INHS_FISH_74540.jpg,Notropis,Stramineus
25,INHS_FISH_84467.jpg,Lepomis,Megalotis
26,INHS_FISH_41816.jpg,Notropis,Volucellus
27,INHS_FISH_5360.jpg,Notropis,Buccatus
28,INHS_FISH_74660.jpg,Gambusia,Affinis
29,INHS_FISH_62267.jpg,Notropis,Stramineus
30,INHS_FISH_101450.jpg,Lepomis,Cyanellus
31,INHS_FISH_81772.jpg,Notropis,Percobromus
32,INHS_FISH_78275.jpg,Lepomis,Macrochirus
33,INHS_FISH_13642.jpg,Lepomis,Humilis
34,INHS_FISH_82395.jpg,Notropis,Micropteryx
35,INHS_FISH_59329.jpg,Notropis,Hudsonius
36,INHS_FISH_48865.jpg,Notropis,Dorsalis
37,INHS_FISH_46151.jpg,Lepomis,Cyanellus
38,INHS_FISH_5099.jpg,Lepomis,Macrochirus
39,INHS_FISH_82362.jpg,Gambusia,Affinis
40,INHS_FISH_80595.jpg,Notropis,Nubilus
41,INHS_FISH_59457.jpg,Notropis,Lutipinnis
42,INHS_FISH_76540.jpg,Gambusia,Affinis
43,INHS_FISH_62565.jpg,Noturus,Exilis
44,INHS_FISH_48159.jpg,Lepomis,Gulosus
45,INHS_FISH_83050.jpg,Lepomis,Macrochirus
46,INHS_FISH_7590.jpg,Notropis,Stramineus
47,INHS_FISH_44694.jpg,Noturus,Insignis
48,INHS_FISH_45896.jpg,Phenacobius,Mirabilis
49,INHS_FISH_6701.jpg,Noturus,Gyrinus
50,INHS_FISH_75676.jpg,Lepomis,Cyanellus
51,INHS_FISH_68973.jpg,Noturus,Gyrinus
52,INHS_FISH_77283.jpg,Notropis,Buccatus
53,INHS_FISH_79635.jpg,Notropis,Hudsonius
54,INHS_FISH_51901.jpg,Lepomis,Cyanellus
55,INHS_FISH_77382.jpg,Lepomis,Macrochirus
56,INHS_FISH_49859.jpg,Lepomis,Cyanellus
57,INHS_FISH_53428.jpg,Lepomis,Megalotis
58,INHS_FISH_56791.jpg,Lepomis,Macrochirus
59,INHS_FISH_81510.jpg,Noturus,Albater
60,INHS_FISH_55093.jpg,Lepomis,Cyanellus
61,INHS_FISH_78633.jpg,Esox,Americanus
62,INHS_FISH_59287.jpg,Notropis,Buccatus
63,INHS_FISH_55631.jpg,Notropis,Dorsalis
64,INHS_FISH_7118.jpg,Lepomis,Humilis
65,INHS_FISH_56423.jpg,Notropis,Dorsalis
66,INHS_FISH_62221.jpg,Lepomis,Macrochirus
67,INHS_FISH_5035.jpg,Notropis,Stramineus
68,INHS_FISH_64890.jpg,Notropis,Buccatus
69,INHS_FISH_57525.jpg,Lepomis,Cyanellus
70,INHS_FISH_42433.jpg,Noturus,Flavus
71,INHS_FISH_7856.jpg,Noturus,Miurus
72,INHS_FISH_73611.jpg,Notropis,Atherinoides
73,INHS_FISH_52242.jpg,Notropis,Stramineus
74,INHS_FISH_42649.jpg,Noturus,Miurus
75,INHS_FISH_5250.jpg,Notropis,Stramineus
76,INHS_FISH_75097.jpg,Lepomis,Cyanellus
77,INHS_FISH_81122.jpg,Notropis,Chalybaeus
78,INHS_FISH_45097.jpg,Lepomis,Cyanellus
79,INHS_FISH_82143.jpg,Notropis,Scepticus
80,INHS_FISH_46703.jpg,Noturus,Flavus
81,INHS_FISH_81955.jpg,Notropis,Atherinoides
82,INHS_FISH_47071.jpg,Notropis,Lutipinnis
83,INHS_FISH_77364.jpg,Notropis,Hudsonius
84,INHS_FISH_6696.jpg,Phenacobius,Mirabilis
85,INHS_FISH_55149.jpg,Phenacobius,Mirabilis
86,INHS_FISH_74673.jpg,Lepomis,Gulosus
87,INHS_FISH_18566.jpg,Notropis,Stramineus
88,INHS_FISH_50200.jpg,Lepomis,Humilis
89,INHS_FISH_59459.jpg,Lepomis,Auritus
90,INHS_FISH_68721.jpg,Notropis,Buccatus
91,INHS_FISH_57037.jpg,Lepomis,Microlophus
92,INHS_FISH_80356.jpg,Noturus,Exilis
93,INHS_FISH_79534.jpg,Lepomis,Cyanellus
94,INHS_FISH_7433.jpg,Esox,Americanus
95,INHS_FISH_64857.jpg,Esox,Americanus
96,INHS_FISH_7264.jpg,Notropis,Buccatus
97,INHS_FISH_80490.jpg,Lepomis,Cyanellus
98,INHS_FISH_73844.jpg,Phenacobius,Mirabilis
99,INHS_FISH_50354.jpg,Lepomis,Miniatus
100,INHS_FISH_62974.jpg,Noturus,Gyrinus
101,INHS_FISH_74284.jpg,Notropis,Volucellus
102,INHS_FISH_46872.jpg,Lepomis,Macrochirus
